	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbols	genename	Pathway
202995_s_at	2.22015191836655	8.99096263955641	6.71639063266315	1.10336044399089e-07	0.00111295967985361	7.51040191593211	FBLN1	fibulin 1	
210764_s_at	2.56826813475266	8.92907427773217	6.41584430553554	2.66322491210472e-07	0.00130180512706945	6.7151995050895	CCN1	cellular communication network factor 1	
204457_s_at	1.38252887700464	9.77833209810609	6.28886550797449	3.87173131873535e-07	0.00130180512706945	6.37671259843184	GAS1	growth arrest specific 1	04340:Hedgehog signaling pathway - Homo sapiens (human)
204823_at	1.66048598324536	6.3843090724688	6.09228551213026	6.92257983039607e-07	0.00174570156873013	5.8501503109218	NAV3	neuron navigator 3	
205226_at	1.6167222175542	8.74010198072574	5.99152699423249	9.33118841281088e-07	0.00188247395040047	5.57920732564023	PDGFRL	platelet derived growth factor receptor like	
219304_s_at	1.71868689663829	7.75763122614727	5.87378313683133	1.32338948492483e-06	0.00222483828907279	5.26182189980703	PDGFD	platelet derived growth factor D	04510:Focal adhesion - Homo sapiens (human) // 04540:Gap junction - Homo sapiens (human) // 04810:Regulation of actin cytoskeleton - Homo sapiens (human) // 05215:Prostate cancer - Homo sapiens (human) // 05218:Melanoma - Homo sapiens (human)
218730_s_at	2.71871675016212	7.58697231142974	5.63404791167921	2.69899076897267e-06	0.00388924569808961	4.61357811623084	OGN	osteoglycin	
204749_at	1.57957720258658	6.07265630472941	5.56932465460057	3.27220603963522e-06	0.00412584279022506	4.43822300475437	NAP1L3	nucleosome assembly protein 1 like 3	
220504_at	2.09715174278323	4.56572692628798	5.48270026257216	4.23450596262928e-06	0.0046797672474418	4.20338271032976	KERA	keratocan	
206070_s_at	1.57073110313003	4.19640976510769	5.44295663860188	4.76621247040701e-06	0.0046797672474418	4.09559608092993	EPHA3	EPH receptor A3	04360:Axon guidance - Homo sapiens (human)
223734_at	1.37771536013235	5.12220572632013	5.3979372826784	5.44954784491601e-06	0.0046797672474418	3.97348144095919	MGARP	mitochondria localized glutamic acid rich protein	
219778_at	1.33180336074767	6.51278355624366	5.39075463165068	5.56728531469234e-06	0.0046797672474418	3.95399719617113	ZFPM2	zinc finger protein, FOG family member 2	
219427_at	1.40068713206074	5.01452774742779	5.32867629282427	6.69677676858454e-06	0.00498554248362532	3.78559154048738	FAT4	FAT atypical cadherin 4	
212865_s_at	2.40691610652159	7.80769011683392	5.31767652217279	6.91955931106915e-06	0.00498554248362532	3.75575131911998	COL14A1	collagen type XIV alpha 1 chain	04974:Protein digestion and absorption - Homo sapiens (human)
204052_s_at	2.28440548296908	8.08141948361266	5.2859039518509	7.60548028817417e-06	0.00503324924289903	3.6695609571106	SFRP4	secreted frizzled related protein 4	04310:Wnt signaling pathway - Homo sapiens (human)
204472_at	1.81031844078356	9.00491729062852	5.26958527680808	7.98374024847669e-06	0.00503324924289903	3.62529506154149	GEM	GTP binding protein overexpressed in skeletal muscle	
213993_at	1.91460953597111	6.46809193146313	5.20975366173938	9.53835558546406e-06	0.00511307686179018	3.46301861336394	SPON1	spondin 1	
243864_at	1.91639799329329	7.0523157722127	5.20950797540191	9.54532489110325e-06	0.00511307686179018	3.46235235183085	CCDC80	coiled-coil domain containing 80	
220595_at	2.02198208405439	4.48153145925154	5.16873359850713	1.07751873165589e-05	0.00543446572310648	3.35179272143667	PDZRN4	PDZ domain containing ring finger 4	
228640_at	1.60012397763711	7.26585203063217	5.12493886063066	1.22725217034326e-05	0.00580161905167967	3.23308028550005	PCDH7	protocadherin 7	
212667_at	1.14853397972527	11.112936664549	5.11464674436594	1.2653476666695e-05	0.00580161905167967	3.20518850246016	SPARC	secreted protein acidic and cysteine rich	
225871_at	1.56622687764185	7.62179498051857	5.0783834495414	1.40920277354269e-05	0.00614581260072227	3.10693753692769	STEAP2	STEAP2 metalloreductase	
203851_at	1.7168942631661	8.20536011360239	5.06592948614104	1.4622732469251e-05	0.00614581260072227	3.07320407313531	IGFBP6	insulin like growth factor binding protein 6	
219779_at	1.37506582493138	6.6084403580421	5.04301854912935	1.56515368562323e-05	0.00631508209075259	3.01115955170745	ZFHX4	zinc finger homeobox 4	
205880_at	1.18075708421121	6.07052835506219	4.99408267467387	1.80964622851919e-05	0.00684695773545557	2.87870127903945	PRKD1	protein kinase D1	
209869_at	1.44199587200981	7.74117818485478	4.98980675241118	1.83273380447408e-05	0.00684695773545557	2.86713182022116	ADRA2A	adrenoceptor alpha 2A	04080:Neuroactive ligand-receptor interaction - Homo sapiens (human)
211896_s_at	1.16613505141668	12.1060392409854	4.9596173010201	2.00428857760487e-05	0.00722044960082153	2.78546993074091	DCN	decorin	04350:TGF-beta signaling pathway - Homo sapiens (human)
235944_at	1.69894474508568	7.14612979863262	4.94510166510693	2.09236744552551e-05	0.00727783118035028	2.74622006226104	HMCN1	hemicentin 1	
201041_s_at	1.8466363827403	10.0742117736024	4.89219179667601	2.44723474320803e-05	0.00782658884451552	2.6032414325237	DUSP1	dual specificity phosphatase 1	04010:MAPK signaling pathway - Homo sapiens (human)
205782_at	1.11027627539107	4.93717190763489	4.88730156635916	2.48290713814312e-05	0.00782658884451552	2.59003397331287	FGF7	fibroblast growth factor 7	04010:MAPK signaling pathway - Homo sapiens (human) // 04810:Regulation of actin cytoskeleton - Homo sapiens (human) // 05200:Pathways in cancer - Homo sapiens (human) // 05218:Melanoma - Homo sapiens (human)
209960_at	1.21278401634779	5.12647566136449	4.856119145977	2.72283007555197e-05	0.00832278393093718	2.50584880699892	HGF	hepatocyte growth factor	04060:Cytokine-cytokine receptor interaction - Homo sapiens (human) // 04510:Focal adhesion - Homo sapiens (human) // 05144:Malaria - Homo sapiens (human) // 05200:Pathways in cancer - Homo sapiens (human) // 05211:Renal cell carcinoma - Homo sapiens (human) // 05218:Melanoma - Homo sapiens (human)
212558_at	1.4915721288119	8.25133038083473	4.82151446207289	3.01609663177222e-05	0.00894804903667246	2.41249242580587	SPRY1	sprouty RTK signaling antagonist 1	04630:JAK-STAT signaling pathway - Homo sapiens (human)
226769_at	1.42938427947604	8.47369953551239	4.80836862460783	3.13554001839437e-05	0.00900555611935116	2.37704754600697	FIBIN	fin bud initiation factor homolog	
1555609_a_at	1.03399802647257	4.7406517613777	4.79570646646573	3.25502155082551e-05	0.00900555611935116	2.34291762319234	ZMAT3	zinc finger matrin-type 3	04115:p53 signaling pathway - Homo sapiens (human)
212813_at	1.16256346670264	8.09954740144926	4.79071868471503	3.30331690706843e-05	0.00900555611935116	2.3294764000179	JAM3	junctional adhesion molecule 3	04514:Cell adhesion molecules (CAMs) - Homo sapiens (human) // 04530:Tight junction - Homo sapiens (human) // 04670:Leukocyte transendothelial migration - Homo sapiens (human) // 05120:Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)
209189_at	2.95171325273883	8.49181005529557	4.75253420013428	3.69736183708185e-05	0.00957296911170032	2.22663364450065	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	04010:MAPK signaling pathway - Homo sapiens (human) // 04380:Osteoclast differentiation - Homo sapiens (human) // 04620:Toll-like receptor signaling pathway - Homo sapiens (human) // 04660:T cell receptor signaling pathway - Homo sapiens (human) // 04662:B cell receptor signaling pathway - Homo sapiens (human) // 05140:Leishmaniasis - Homo sapiens (human) // 05142:Chagas disease (American trypanosomiasis) - Homo sapiens (human) // 05200:Pathways in cancer - Homo sapiens (human) // 05210:Colorectal cancer - Homo sapiens (human) // 05323:Rheumatoid arthritis - Homo sapiens (human)
201069_at	1.25053770194858	10.8875744069118	4.70372398865257	4.2695430901001e-05	0.010363463500902	2.09533098276845	MMP2	matrix metallopeptidase 2	04670:Leukocyte transendothelial migration - Homo sapiens (human) // 04912:GnRH signaling pathway - Homo sapiens (human) // 05200:Pathways in cancer - Homo sapiens (human) // 05219:Bladder cancer - Homo sapiens (human)
223121_s_at	1.58332127669338	10.5075864242115	4.69357485407515	4.39910443686783e-05	0.010363463500902	2.0680528780516	SFRP2	secreted frizzled related protein 2	04310:Wnt signaling pathway - Homo sapiens (human)
227404_s_at	2.10891193457434	10.8577814759821	4.69197287397873	4.41990767022941e-05	0.010363463500902	2.06374796685586	EGR1	early growth response 1	05020:Prion diseases - Homo sapiens (human)
209101_at	1.42341911069385	10.3277582293882	4.68174527511982	4.55503809148344e-05	0.010363463500902	2.03626895544206	CCN2	cellular communication network factor 2	
212614_at	1.07264418975987	9.36657024515163	4.67668978730492	4.6233355560681e-05	0.010363463500902	2.02268936965372	ARID5B	AT-rich interaction domain 5B	
227070_at	1.19526616012697	8.66835786860283	4.6618035767702	4.83038459653937e-05	0.0105921933533245	1.98271611332866	GLT8D2	glycosyltransferase 8 domain containing 2	
